language,error_type,buggy_code,fixed_code,line_no
C,MissingDelimiter,float m = 94.0,float m = 48.0;,1.0
C,UnmatchedBracket,for (int i = 0; i < 10; i++ { },for (int i = 0; i < 10; i++) { },1.0
Java,UnusedVariable,"public class Main {
    public static void main(String[] args) {
        int unused = 42;
        System.out.println(""hello"");
    }
}",,
JavaScript,TypeMismatch,"let result = 'string';
let res = result * 5;",,
JavaScript,NoError,const name = () => { return 'value'; };,,
Java,NoError,"public static int export_data(int a, int b) {
    return a + b;
}",,1.0
Python,UnusedVariable,"distance = 50
print('data')",print('message'),1.0
Python,InvalidAssignment,61 = idx,num = 68,1.0
Python,LineTooLong,"data = {'key1': value1, 'key2': value2, 'key3': value3, 'key4': value4, 'key5': value5, 'key6': value6, 'key7': value7}",,
Python,TypeMismatch,print('phi' - 'gamma'),print('header' + 'value'),1.0
JavaScript,NoError,"const user = 47;
console.log(user);",,
C++,MissingDelimiter,"for (int i = 0; i < 10; i++) {
    count++
}","for (int i = 0; i < 10; i++) {
    count++;
}",2.0
Python,WildcardImport,"from collections import *
c = Counter([1,1,2,3])",,
JavaScript,DivisionByZero,"let id = 54 / 0;
console.log(id);",,
JavaScript,MissingDelimiter,"let total = 5
let id = 10",,
Python,LineTooLong,total = 69 + 35 + 14 + 57 + 85 + 57 + 21 + 18 + 46 + 96 + 56 + 1 + 46 + 91 + 26,"m = sum([25, 37, 6, 18, 51])",1.0
Python,TypeMismatch,c = None + 94,,
C,InvalidAssignment,5 = x;,int x = 5;,1.0
Python,WildcardImport,from math import *,from math import sqrt,1.0
Python,MissingDelimiter,"for i in range(10)
    print(i)","for i in range(10):
    print(i)",1.0
Python,UnmatchedBracket,"matrix = [[1, 2, 3], [4, 5, 6]
print(matrix)",,
JavaScript,DivisionByZero,"let name = 62 / 0;
console.log(name);",,
C,UnclosedString,"printf(""hello);","printf(""footer"");",1.0
Python,UndeclaredIdentifier,"user = Usr('Alice', 30)",,
C++,UnusedVariable,"int idx = 77;
cout << ""done"" << endl;","cout << ""done"" << endl;",1.0
C,DivisionByZero,"int rev = 1000;
int emp = 0;
int rpe = rev / emp;","int rev = 1000;
int emp = 0;
int rpe = (emp > 0) ? rev / emp : 0;",3.0
Python,UnusedVariable,"import os
height = os.getcwd()
ratio = os.listdir('.')
print(height)",,
C++,InvalidAssignment,33 = volume;,int radius = 56;,1.0
Python,MissingDelimiter,"def add(a, b)
    return a + b","def add(a, b):
    return a + b",1.0
Python,InfiniteLoop,"x = 10
while x > 0:
    x += 1",,
Java,UnclosedString,"String s = ""name;","String s = ""footer"";",1.0
C,TypeMismatch,"float num = ""test"";","char* num = ""test"";",1.0
C,TypeMismatch,char data = 81;,int data = 97;,1.0
Python,UnusedVariable,"def convert(price, limit):
    width = price + limit
    return price",,
C++,UndeclaredIdentifier,cout << num << endl;,"int num = 4;
cout << num << endl;",1.0
Python,UnusedVariable,"def update(height, count):
    price = height + count
    return height",,
C,UndeclaredIdentifier,"printf(""%d"", score);","int score = 38;
printf(""%d"", score);",1.0
JavaScript,NoError,"const user = 57;
console.log(user);",,
Java,LineTooLong,"System.out.println(""result beta value result error sigma test info header theta warning description phi sigma label title warning alpha name error"");","System.out.println(""error"");",1.0
Python,ImportError,"conn = sqlite3.connect('app.db')
cursor = conn.cursor()",,
Java,MissingDelimiter,return n,return n;,1.0
Java,UnmatchedBracket,"public class Test {
  public static void main(String[] args) {
    System.out.println(1);
","public class Test {
  public static void main(String[] args) {
    System.out.println(1);
  }
}",3.0
Java,TypeMismatch,"Object obj = 34 + ""string"";",,
Python,UnreachableCode,"while True:
    break
    do_work()",,
Python,MutableDefault,"def evaluate(y={}):
    y['warning'] = 55
    return y","def evaluate(y=None):
    if y is None:
        y = {}
    y['body'] = 61
    return y",1.0
Java,UnreachableCode,"public class Main {
    public static int getValue() {
        return 42;
        System.out.println(""done"");
    }
}",,
Python,UndeclaredIdentifier,"result = calculate(10, 5)
print(result)",,
C,UndeclaredIdentifier,return unknownFlag;,,
Python,UnclosedString,"label = 'Score: ' + str(score) + ' points
print(label)",,
C++,TypeMismatch,"int value = ""hello"";","string value = ""hello"";",1.0
C,DivisionByZero,"printf(""%d"", 6 / 0);","printf(""%d"", 87 / 63);",1.0
JavaScript,UndeclaredIdentifier,calculateTotal(value); // value is not defined,,
Java,UnreachableCode,"public class Main {
    public static void main(String[] args) {
        for (int i = 0; i < 10; i++) {
            break;
            System.out.println(i);
        }
    }
}",,
C++,DivisionByZero,cout << 94 / 0 << endl;,cout << 48 / 29 << endl;,1.0
C++,TypeMismatch,string time_val = 19;,int time_val = 64;,1.0
Python,WildcardImport,"from shutil import *
copy('src.txt', 'dst.txt')",,
Python,TypeMismatch,result = 'string' + 33,,
Java,DuplicateDefinition,"int area = 3;
int area = 42;",int area = 79;,1.0
C++,UnmatchedBracket,"int main() {
    cout << ""body"" << endl;
","int main() {
    cout << ""sigma"" << endl;
    return 0;
}",1.0
