label,precision,recall,f1,support
DivisionByZero,1.0,0.7617079889807162,0.8647380766223611,726
DuplicateDefinition,1.0,0.7557603686635944,0.8608923884514436,217
ImportError,0.9662921348314607,0.6466165413533834,0.7747747747747747,133
IndentationError,0.9861111111111112,1.0,0.993006993006993,71
InfiniteLoop,1.0,0.7801418439716312,0.8764940239043825,141
InvalidAssignment,1.0,0.3516949152542373,0.5203761755485894,236
LineTooLong,0.8292682926829268,0.7906976744186046,0.8095238095238095,129
MissingDelimiter,0.9892761394101877,0.9461538461538461,0.9672346002621232,390
MissingInclude,0.0,0.0,0.0,85
MutableDefault,1.0,0.9868421052631579,0.9933774834437086,76
NoError,0.3330161750713606,0.9722222222222222,0.4961020552799433,720
SyntaxError,0.0,0.0,0.0,0
TypeMismatch,0.9444444444444444,0.04404145077720207,0.08415841584158415,386
UnclosedString,1.0,0.9487179487179487,0.9736842105263158,156
UndeclaredIdentifier,0.9577464788732394,0.26053639846743293,0.4096385542168674,261
UnmatchedBracket,0.9812734082397003,0.9961977186311787,0.9886792452830188,263
UnreachableCode,1.0,0.9520958083832335,0.9754601226993864,167
UnusedVariable,1.0,0.23853211009174313,0.38518518518518524,327
WildcardImport,0.9714285714285714,0.9444444444444444,0.9577464788732395,36
