true_label,predicted_label,count,rate_within_true_label,true_total
TypeMismatch,NoError,369,0.9559585492227979,386
UnusedVariable,NoError,249,0.7614678899082569,327
UndeclaredIdentifier,NoError,192,0.735632183908046,261
DivisionByZero,NoError,173,0.23829201101928374,726
InvalidAssignment,NoError,149,0.6313559322033898,236
MissingInclude,NoError,85,1.0,85
DuplicateDefinition,NoError,53,0.24423963133640553,217
ImportError,NoError,42,0.3157894736842105,133
InfiniteLoop,NoError,31,0.2198581560283688,141
LineTooLong,NoError,26,0.20155038759689922,129
MissingDelimiter,NoError,21,0.05384615384615385,390
NoError,LineTooLong,20,0.027777777777777776,720
UnreachableCode,NoError,8,0.04790419161676647,167
UnclosedString,UnmatchedBracket,5,0.03205128205128205,156
ImportError,MissingDelimiter,4,0.03007518796992481,133
UnclosedString,NoError,3,0.019230769230769232,156
InvalidAssignment,UndeclaredIdentifier,3,0.012711864406779662,236
WildcardImport,ImportError,2,0.05555555555555555,36
MutableDefault,NoError,1,0.013157894736842105,76
LineTooLong,IndentationError,1,0.007751937984496124,129
ImportError,WildcardImport,1,0.007518796992481203,133
InvalidAssignment,TypeMismatch,1,0.00423728813559322,236
UndeclaredIdentifier,ImportError,1,0.0038314176245210726,261
UnmatchedBracket,LineTooLong,1,0.0038022813688212928,263
